episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
99,230.0,291,58848,0.2,0.07337120080953591,535.8039857059999,True,False
100,340.0,421,59269,0.2,0.08044338016992524,539.2686489189999,True,False
101,360.0,475,59744,0.2,0.07270910166704855,544.23891966,True,False
102,510.0,485,60229,0.2,0.06623540700928977,548.698686406,True,False
103,700.0,636,60865,0.2,0.07513972666442582,554.816461654,True,False
104,420.0,480,61345,0.2,0.08734927045491835,559.244735025,True,False
105,470.0,426,61771,0.2,0.08536072714992289,562.607502914,True,False
106,480.0,569,62340,0.2,0.07847201736917446,567.685313362,True,False
107,470.0,577,62917,0.2,0.07334125803188524,572.287713851,True,False
108,650.0,616,63533,0.2,0.08246289340585664,577.9383585429999,True,False
109,350.0,465,63998,0.2,0.07953788901293843,582.594292123,True,False
110,1050.0,698,64696,0.2,0.07770254159612315,590.0210379829999,True,False
111,1200.0,961,65657,0.2,0.08179360986299192,598.338588172,True,False
112,560.0,520,66177,0.2,0.07965492876246572,603.672859622,True,False
113,730.0,583,66760,0.2,0.07614967575271243,608.799512837,True,False
114,510.0,525,67285,0.2,0.06911997626471611,613.555430029,True,False
115,610.0,600,67885,0.2,0.0656926930292199,617.859134157,True,False
116,500.0,565,68450,0.2,0.07680561453606008,621.9553907989999,True,False
117,810.0,575,69025,0.2,0.07907485384364715,626.12995669,True,False
118,780.0,653,69678,0.2,0.07798520665890052,630.783581594,True,False
119,360.0,459,70137,0.2,0.07706218656638394,633.859105521,True,False
120,910.0,742,70879,0.2,0.0770857211001016,639.21247155,True,False
121,460.0,508,71387,0.2,0.08223963352140244,642.603745186,True,False
122,380.0,415,71802,0.2,0.07862412055524495,645.692749725,True,False
123,1090.0,992,72794,0.2,0.08208150554057811,652.358624004,True,False
124,670.0,606,73400,0.2,0.07183387710431002,657.267515392,True,False
125,380.0,469,73869,0.2,0.08457396836139452,660.515071546,True,False
126,430.0,543,74412,0.2,0.08680618188672644,667.422362161,True,False
127,1310.0,661,75073,0.2,0.08020067814398896,672.18365159,True,False
128,370.0,441,75514,0.2,0.07231718377125534,675.633373195,True,False
129,460.0,534,76048,0.2,0.0789611861040232,679.451499894,True,False
130,370.0,419,76467,0.2,0.07555126955804344,682.765935659,True,False
131,810.0,598,77065,0.2,0.08463598776608705,687.050311657,True,False
132,540.0,460,77525,0.2,0.09445411439013222,690.604743869,True,False
133,310.0,484,78009,0.2,0.08573343059094238,694.024645684,True,False
134,630.0,645,78654,0.2,0.07743962139168882,699.128577632,True,False
135,300.0,367,79021,0.2,0.10119141871109605,701.918680497,True,False
136,450.0,448,79469,0.2,0.0982095131517521,705.925909668,True,False
137,440.0,414,79883,0.2,0.10036210279043728,709.0159452839999,True,False
138,880.0,904,80787,0.2,0.0890312415580636,716.508386252,True,False
139,1280.0,968,81755,0.2,0.08894423475442839,723.4468355399999,True,False
140,860.0,714,82469,0.2,0.06874873426706431,729.2138579599999,True,False
141,1410.0,819,83288,0.2,0.07762864309749225,736.265194323,True,False
142,1620.0,1016,84304,0.2,0.09217953112152383,744.409206905,True,False
143,1120.0,796,85100,0.2,0.08030937984585762,750.2454822469999,True,False
144,380.0,431,85531,0.2,0.08036159541214181,753.818439694,True,False
145,710.0,880,86411,0.2,0.07961553956635974,760.409469763,True,False
146,850.0,689,87100,0.2,0.08664503678507199,766.2153241259999,True,False
147,490.0,459,87559,0.2,0.10281758848577738,769.648388254,True,False
