episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
33,980.0,692,20297,0.2,0.042838154487161106,147.344343453,True,False
34,520.0,663,20960,0.2,0.04644506311896874,152.339086861,True,False
35,710.0,556,21516,0.2,0.04738181705332006,156.7364954,True,False
36,710.0,641,22157,0.2,0.049458771373610946,161.58438328699998,True,False
37,520.0,568,22725,0.2,0.04780814410056132,165.792349632,True,False
38,480.0,496,23221,0.2,0.04608645452742254,170.333001882,True,False
39,810.0,660,23881,0.2,0.048092302869102266,176.474056548,True,False
40,440.0,617,24498,0.2,0.05065466484429871,181.643841369,True,False
41,1060.0,836,25334,0.2,0.05233238121877874,188.59631179,True,False
42,750.0,538,25872,0.2,0.05076228472645636,192.78356742,True,False
43,520.0,690,26562,0.2,0.05170558543800008,198.11261726,True,False
44,490.0,640,27202,0.2,0.04811292528756894,203.417770794,True,False
45,510.0,547,27749,0.2,0.05318545157185001,207.605503916,True,False
46,1050.0,856,28605,0.2,0.057145932898203904,214.214264909,True,False
47,380.0,495,29100,0.2,0.060519757534136936,217.99168765,True,False
48,1300.0,955,30055,0.2,0.06044247789903223,225.311273134,True,False
49,400.0,470,30525,0.2,0.053605609520149054,229.07229784199998,True,False
50,320.0,447,30972,0.2,0.05374940113896238,233.267988361,True,False
51,600.0,719,31691,0.2,0.05933483824779035,240.30511687400002,True,False
52,1020.0,1042,32733,0.2,0.06066788445580108,248.32823372299998,True,False
53,820.0,816,33549,0.2,0.05935359855785089,254.702456811,True,False
54,430.0,441,33990,0.2,0.06380200625651263,258.18300951,True,False
55,340.0,434,34424,0.2,0.06427499489568242,261.628708333,True,False
56,570.0,560,34984,0.2,0.06585725621719446,266.227402299,True,False
57,1680.0,917,35901,0.2,0.06571025708202256,273.23994068999997,True,False
58,320.0,429,36330,0.2,0.07128638916901339,276.598810228,True,False
59,410.0,370,36700,0.2,0.07076898224211188,279.430062129,True,False
60,320.0,495,37195,0.2,0.06305991693937439,283.800730162,True,False
61,450.0,385,37580,0.2,0.061754881423542796,286.919137342,True,False
62,980.0,682,38262,0.2,0.06855724487344132,292.973656348,True,False
63,1040.0,858,39120,0.2,0.06868216092589982,299.780200412,True,False
64,430.0,503,39623,0.2,0.07383457646518946,303.708142825,True,False
65,940.0,837,40460,0.2,0.06376190539449453,310.711839811,True,False
66,320.0,444,40904,0.2,0.06837462945128078,314.082900976,True,False
67,330.0,534,41438,0.2,0.06794067452262555,318.200065827,True,False
68,1530.0,928,42366,0.2,0.06590616692796927,325.675535991,True,False
69,360.0,511,42877,0.2,0.06843826780823292,329.718445706,True,False
70,520.0,505,43382,0.2,0.06967432904870265,333.763838119,True,False
71,310.0,407,43789,0.2,0.07198249601631188,337.04862622999997,True,False
72,1380.0,1019,44808,0.2,0.074658229870393,344.857339649,True,False
73,500.0,438,45246,0.2,0.0732185860429335,348.158776841,True,False
74,340.0,365,45611,0.2,0.08150104175393398,351.612514986,True,False
75,1300.0,674,46285,0.2,0.07150066018479287,357.034716523,True,False
76,380.0,429,46714,0.2,0.08842811763077696,361.42622948999997,True,False
77,900.0,593,47307,0.2,0.07542241071476727,366.139158198,True,False
78,760.0,731,48038,0.2,0.07053306240262718,371.836056961,True,False
79,730.0,623,48661,0.2,0.07264798473662291,376.794566571,True,False
80,580.0,648,49309,0.2,0.0744635619993471,381.945442243,True,False
81,400.0,454,49763,0.2,0.08595173915567915,385.80700428299997,True,False
82,530.0,473,50236,0.2,0.07182271154832189,389.57963815,True,False
83,2310.0,762,50998,0.2,0.08317132151538605,395.635309158,True,False
84,1120.0,879,51877,0.2,0.07280848436057567,402.617796201,True,False
85,440.0,520,52397,0.2,0.07177681596949696,406.727551296,True,False
86,340.0,417,52814,0.2,0.07670201632516602,410.260799782,True,False
87,730.0,710,53524,0.2,0.07841781962642007,416.658288778,True,False
88,700.0,627,54151,0.2,0.07757507846093713,421.65731710299997,True,False
89,720.0,813,54964,0.2,0.07842389403787606,428.062647517,True,False
90,700.0,551,55515,0.2,0.0723695607080947,432.47842942,True,False
91,760.0,616,56131,0.2,0.08002976914746808,437.436020018,True,False
